# Server version 0.08 running on 142.157.168.42:8123
# Game ID: 31
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Wed Apr 02 20:26:48 GMT-04:00 2014
# Player 1: Player-0, '260449697', running on 142.157.168.42
# Player 2: Player-1, 'random', running on 142.157.168.42
# Player 3: Player-2, 'random', running on 142.157.168.42
# Player 4: Player-3, 'random', running on 142.157.168.42
START Player-0 260449697
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (14,0) (12,2)
1 null null
2 (1,15) (3,13)
2 null null
3 (13,13) (11,15)
3 (11,15) (13,13)
3 (13,13) (11,15)
3 null null
0 (0,0) (2,2)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,1)
1 (11,1) (13,3)
1 null null
2 (2,14) (1,15)
3 (14,12) (15,11)
0 (2,2) (4,4)
0 null null
1 (14,3) (15,4)
2 (3,13) (2,14)
3 (12,14) (11,14)
0 (1,2) (2,3)
1 (13,3) (14,4)
2 (2,13) (3,12)
3 (11,14) (10,15)
0 (0,1) (1,2)
1 (14,4) (15,5)
2 (3,12) (4,11)
3 (14,15) (12,13)
3 (12,13) (14,15)
3 null null
0 (1,2) (3,4)
0 null null
1 (13,2) (14,3)
2 (2,15) (4,15)
2 null null
3 (11,15) (12,14)
0 (0,3) (1,4)
1 (14,2) (14,4)
1 null null
2 (2,14) (4,14)
2 null null
3 (10,15) (9,14)
0 (1,4) (2,5)
1 (12,0) (14,2)
1 (14,2) (12,0)
1 (12,0) (14,0)
1 null null
2 (4,14) (2,14)
2 (2,14) (4,14)
2 null null
3 (15,15) (13,13)
3 null null
0 (3,0) (4,1)
1 (15,5) (13,3)
1 (13,3) (11,1)
1 (11,1) (13,3)
1 (13,3) (15,5)
1 (15,5) (13,3)
1 (13,3) (11,1)
1 (11,1) (13,3)
1 null null
2 (3,14) (4,13)
3 (15,13) (14,12)
0 (4,1) (5,2)
1 (14,4) (14,2)
1 (14,2) (12,0)
1 null null
2 (0,13) (2,15)
2 (2,15) (0,13)
2 (0,13) (2,11)
2 null null
3 (15,11) (14,10)
0 (5,2) (6,3)
1 (15,4) (14,4)
2 (4,11) (3,12)
3 (15,14) (15,13)
0 (2,0) (4,2)
0 null null
1 (14,1) (13,2)
2 (4,15) (3,14)
3 (14,10) (14,9)
0 (4,2) (5,3)
1 (14,3) (14,5)
1 (14,5) (14,3)
1 null null
2 (3,14) (3,13)
3 (13,15) (15,15)
3 (15,15) (13,15)
3 (13,15) (11,15)
3 null null
0 (5,3) (6,4)
1 (12,0) (11,0)
2 (2,11) (1,10)
3 (13,13) (15,11)
3 null null
0 (3,4) (4,5)
1 (14,3) (14,5)
1 null null
2 (1,12) (2,12)
3 (14,14) (13,13)
0 (4,5) (5,6)
1 (13,0) (14,1)
2 (1,15) (2,15)
3 (15,11) (14,11)
0 (1,0) (3,2)
0 null null
1 (15,2) (14,2)
2 (0,14) (1,15)
3 (14,15) (15,15)
0 (3,2) (4,3)
1 (13,2) (12,3)
2 (2,12) (3,11)
3 (9,14) (10,13)
0 (2,1) (3,2)
1 (14,5) (15,6)
2 (4,14) (3,14)
3 (14,12) (14,10)
3 (14,10) (14,8)
3 null null
0 (3,2) (5,4)
0 null null
1 (12,2) (13,2)
2 (3,14) (5,12)
2 null null
3 (10,13) (9,12)
0 (5,4) (6,5)
1 (14,4) (14,5)
2 (2,15) (0,13)
2 (0,13) (0,11)
2 (0,11) (0,13)
2 (0,13) (2,15)
2 (2,15) (4,15)
2 (4,15) (2,15)
2 (2,15) (4,15)
2 (4,15) (2,15)
2 null null
3 (13,13) (12,13)
0 (6,5) (7,6)
1 (15,0) (13,0)
1 (13,0) (15,2)
1 (15,2) (13,0)
1 (13,0) (11,2)
1 (11,2) (13,0)
1 (13,0) (15,2)
1 (15,2) (13,0)
1 null null
2 (4,13) (5,13)
3 (14,8) (15,7)
0 (4,4) (5,5)
1 (14,5) (13,6)
2 (5,13) (6,14)
3 (9,12) (8,13)
0 (5,5) (6,6)
1 (14,2) (15,2)
2 (3,11) (4,12)
3 (12,15) (10,15)
3 null null
0 (6,6) (7,7)
1 (15,6) (14,6)
2 (1,15) (0,14)
3 (11,15) (10,14)
0 (7,7) (8,8)
1 (14,6) (15,5)
2 (3,13) (2,14)
3 (14,9) (14,10)
0 (8,8) (9,9)
1 (14,1) (14,2)
2 (1,13) (2,13)
3 (8,13) (7,12)
0 (9,9) (10,10)
1 (12,3) (12,2)
2 (2,13) (3,14)
3 (12,14) (11,15)
0 (10,10) (11,11)
1 (12,2) (12,3)
2 (3,15) (1,13)
2 (1,13) (1,15)
2 (1,15) (1,13)
2 (1,13) (3,15)
2 (3,15) (1,13)
2 (1,13) (3,15)
2 (3,15) (3,13)
2 null null
3 (14,10) (13,10)
