# Server version 0.08 running on 142.157.168.42:8123
# Game ID: 83
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Wed Apr 02 23:10:29 GMT-04:00 2014
# Player 1: Player-0, 'random', running on 142.157.168.42
# Player 2: Player-1, 'random', running on 142.157.168.42
# Player 3: Player-2, '260449697', running on 142.157.168.42
# Player 4: Player-3, '260449697', running on 142.157.168.42
START Player-0 random
START Player-1 random
START Player-2 260449697
START Player-3 260449697
0 (1,3) (2,3)
1 (12,0) (11,1)
2 (1,14) (3,12)
2 null null
3 (14,13) (12,13)
3 null null
0 (3,1) (4,0)
1 (15,3) (13,3)
1 null null
2 (2,14) (1,14)
3 (13,14) (11,14)
3 null null
0 (3,0) (4,1)
1 (14,3) (15,4)
2 (1,14) (2,14)
3 (14,12) (14,13)
0 (2,2) (3,3)
1 (11,1) (11,0)
2 (2,14) (1,14)
3 (14,13) (13,14)
0 (1,2) (1,3)
1 (13,3) (12,3)
2 (1,14) (2,14)
3 (13,14) (11,12)
3 null null
0 (2,3) (4,3)
0 (4,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (2,3)
0 null null
1 (12,3) (13,4)
2 (2,14) (1,14)
3 (12,15) (11,15)
0 (0,3) (1,4)
1 (14,0) (12,2)
1 null null
2 (1,14) (2,14)
3 (15,13) (14,13)
0 (1,4) (2,5)
1 (15,4) (15,3)
2 (2,14) (1,14)
3 (14,13) (13,14)
0 (3,3) (2,2)
1 (14,2) (14,3)
2 (1,14) (2,14)
3 (13,14) (12,15)
0 (2,0) (3,1)
1 (12,2) (11,2)
2 (2,14) (1,14)
3 (12,15) (10,15)
3 null null
0 (4,1) (3,0)
1 (13,2) (13,3)
2 (1,14) (2,14)
3 (15,12) (15,13)
0 (1,3) (1,4)
1 (14,1) (14,2)
2 (2,14) (1,14)
3 (15,13) (14,13)
0 (2,5) (3,6)
1 (13,4) (13,2)
1 null null
2 (1,14) (2,14)
3 (14,13) (13,14)
0 (1,4) (1,3)
1 (15,1) (14,0)
2 (2,14) (1,14)
3 (13,14) (12,15)
0 (4,0) (5,0)
1 (13,2) (12,2)
2 (1,14) (2,14)
3 (12,15) (10,13)
3 null null
