# Server version 0.08 running on 142.157.168.42:8123
# Game ID: 110
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Thu Apr 03 00:58:54 GMT-04:00 2014
# Player 1: Player-0, '260449697', running on 142.157.168.42
# Player 2: Player-1, '260449697', running on 142.157.168.42
# Player 3: Player-2, 'random', running on 142.157.168.42
# Player 4: Player-3, 'random', running on 142.157.168.42
START Player-0 260449697
START Player-1 260449697
START Player-2 random
START Player-3 random
0 (2,2) (2,3)
1 (14,3) (14,4)
2 (2,15) (4,13)
2 null null
3 (15,12) (13,12)
3 null null
0 (0,0) (2,2)
0 (2,2) (2,4)
0 null null
1 (15,1) (13,3)
1 null null
2 (3,14) (3,13)
3 (12,15) (11,15)
0 (1,2) (1,4)
0 (1,4) (3,4)
0 null null
1 (15,0) (15,1)
2 (3,13) (4,14)
3 (13,12) (12,13)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (1,12) (1,11)
3 (14,13) (13,12)
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (0,13) (2,15)
2 (2,15) (0,13)
2 (0,13) (0,11)
2 (0,11) (0,13)
2 null null
3 (15,13) (13,11)
3 (13,11) (15,13)
3 (15,13) (13,11)
3 null null
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (1,11) (0,10)
3 (14,14) (12,12)
3 (12,12) (14,14)
3 null null
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (0,14) (2,12)
2 null null
3 (13,11) (12,10)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (4,13) (4,12)
3 (13,14) (11,14)
3 null null
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (2,14) (3,14)
3 (14,15) (12,15)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 (12,15) (14,15)
3 null null
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (0,10) (1,10)
3 (11,14) (13,14)
3 null null
0 (0,0) (0,1)
1 (15,0) (15,1)
2 (4,12) (4,11)
3 (12,14) (11,14)
0 (0,1) (0,0)
1 (15,1) (15,0)
2 (3,15) (4,15)
3 (14,12) (14,13)
0 (0,0) (0,1)
