# Server version 0.08 running on 142.157.168.42:8123
# Game ID: 111
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Thu Apr 03 00:59:07 GMT-04:00 2014
# Player 1: Player-0, '260449697', running on 142.157.168.42
# Player 2: Player-1, 'random', running on 142.157.168.42
# Player 3: Player-2, 'random', running on 142.157.168.42
# Player 4: Player-3, '260449697', running on 142.157.168.42
START Player-0 260449697
START Player-1 random
START Player-2 random
START Player-3 260449697
0 (2,2) (2,3)
1 (15,1) (13,3)
1 null null
2 (2,13) (2,12)
3 (14,14) (12,12)
3 null null
0 (0,0) (2,2)
0 (2,2) (2,4)
0 null null
1 (14,3) (14,4)
2 (2,14) (2,13)
3 (15,15) (14,14)
0 (1,2) (1,4)
0 (1,4) (3,4)
0 null null
1 (15,0) (15,1)
2 (3,14) (3,13)
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (14,4) (14,5)
2 (3,13) (1,11)
2 (1,11) (3,13)
2 (3,13) (1,11)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (14,5) (13,5)
2 (0,13) (0,11)
2 (0,11) (2,11)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (13,2) (14,3)
2 (1,13) (2,14)
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (13,1) (11,1)
1 (11,1) (13,1)
1 (13,1) (11,1)
1 null null
2 (2,11) (2,10)
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (11,1) (10,1)
2 (1,12) (0,11)
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (15,1) (15,0)
2 (2,15) (4,15)
2 (4,15) (2,15)
2 (2,15) (0,13)
2 (0,13) (2,15)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (12,0) (11,0)
2 (2,15) (3,14)
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (14,2) (13,2)
2 (0,11) (0,13)
2 (0,13) (2,15)
2 (2,15) (4,13)
2 null null
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (14,3) (12,3)
1 (12,3) (14,3)
1 null null
2 (3,14) (5,12)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (13,0) (12,0)
2 (2,13) (3,13)
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (12,0) (13,1)
2 (1,15) (2,15)
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (10,1) (10,0)
2 (2,10) (2,11)
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (14,0) (14,2)
1 (14,2) (14,0)
1 (14,0) (14,2)
1 null null
2 (1,11) (3,11)
2 (3,11) (1,13)
2 (1,13) (3,11)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (15,3) (15,1)
1 (15,1) (15,3)
1 (15,3) (15,1)
1 (15,1) (15,3)
1 null null
2 (2,11) (1,11)
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (14,3) (12,3)
1 null null
2 (2,12) (4,14)
2 (4,14) (4,12)
2 (4,12) (6,12)
2 (6,12) (4,12)
2 (4,12) (2,10)
2 (2,10) (4,12)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (14,2) (15,1)
2 (3,11) (4,10)
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (13,5) (12,5)
2 (3,15) (1,13)
2 null null
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (13,1) (11,1)
1 null null
2 (4,13) (3,12)
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (12,1) (12,2)
2 (3,13) (4,14)
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (11,1) (10,2)
2 (4,14) (5,14)
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (13,2) (11,4)
1 (11,4) (13,2)
1 (13,2) (13,4)
1 (13,4) (11,2)
1 (11,2) (13,4)
1 (13,4) (11,6)
1 (11,6) (13,4)
1 null null
2 (4,12) (5,13)
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (12,2) (11,2)
2 (3,12) (3,13)
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (10,0) (10,1)
2 (1,11) (0,10)
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (10,2) (10,0)
1 null null
2 (4,10) (4,11)
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (10,0) (11,1)
2 (5,12) (6,13)
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (10,1) (9,0)
2 (0,10) (0,11)
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (13,4) (14,5)
2 (6,13) (6,12)
3 (15,15) (14,14)
0 (0,0) (0,1)
1 (11,1) (10,0)
2 (5,13) (6,14)
3 (14,14) (15,15)
0 (0,1) (0,0)
1 (14,5) (14,4)
2 (0,12) (1,11)
3 (15,15) (14,14)
0 (0,0) (0,1)
