# Server version 0.08 running on 142.157.138.29:8123
# Game ID: 115
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Thu Apr 03 14:52:04 GMT-04:00 2014
# Player 1: Player-0, '260449697', running on 142.157.138.29
# Player 2: Player-1, '260449697', running on 142.157.138.29
# Player 3: Player-2, '260449697', running on 142.157.138.29
# Player 4: Player-3, '260449697', running on 142.157.138.29
START Player-0 260449697
START Player-1 260449697
START Player-2 260449697
START Player-3 260449697
0 (1,3) (1,4)
1 (12,1) (12,2)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
