# Server version 0.08 running on 142.157.138.29:8123
# Game ID: 122
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Thu Apr 03 15:17:32 GMT-04:00 2014
# Player 1: Player-0, '260449697', running on 142.157.138.29
# Player 2: Player-1, '260449697', running on 142.157.138.29
# Player 3: Player-2, '260449697', running on 142.157.138.29
# Player 4: Player-3, '260449697', running on 142.157.138.29
START Player-0 260449697
START Player-1 260449697
START Player-2 260449697
START Player-3 260449697
0 (2,0) (4,2)
0 null null
1 (13,2) (12,3)
2 (2,15) (4,13)
2 null null
3 (14,14) (12,12)
3 null null
0 (3,1) (5,3)
0 null null
1 (12,3) (11,4)
2 (3,14) (5,12)
2 null null
3 (13,13) (11,11)
3 null null
0 (5,3) (5,4)
1 (15,0) (13,2)
1 null null
2 (5,12) (6,12)
3 (11,11) (10,10)
0 (5,4) (5,5)
1 (11,4) (11,5)
2 (6,12) (7,11)
3 (10,10) (9,9)
0 (0,0) (2,0)
0 null null
1 (14,3) (13,3)
2 (7,11) (7,10)
3 (9,9) (8,8)
0 (5,5) (6,6)
1 (13,2) (12,2)
2 (7,10) (8,9)
3 (8,8) (7,7)
0 (6,6) (8,8)
0 null null
1 (15,3) (14,4)
2 (0,15) (2,15)
2 null null
3 (7,7) (6,6)
0 (2,2) (3,3)
1 (15,1) (15,3)
1 null null
2 (4,13) (5,14)
3 (6,6) (5,5)
0 (1,2) (2,3)
1 (11,5) (10,4)
2 (2,13) (3,14)
3 (15,15) (14,14)
0 (8,8) (9,9)
1 (10,4) (11,5)
2 (8,9) (8,8)
3 (14,14) (15,15)
0 (9,9) (10,10)
1 (11,5) (10,4)
2 (1,13) (2,12)
3 (15,15) (14,14)
0 (10,10) (11,10)
1 (10,4) (11,5)
2 (2,12) (3,13)
3 (14,14) (15,15)
0 (4,2) (5,3)
1 (11,5) (10,4)
2 (3,13) (4,14)
3 (15,15) (14,14)
0 (11,10) (12,9)
1 (10,4) (11,5)
2 (1,12) (2,12)
3 (14,14) (15,15)
0 (12,9) (11,10)
1 (11,5) (10,4)
2 (2,12) (3,13)
3 (15,15) (14,14)
0 (11,10) (12,9)
1 (10,4) (11,5)
2 (3,13) (5,15)
2 null null
3 (14,14) (15,15)
0 (12,9) (11,10)
1 (11,5) (10,4)
2 (5,15) (6,15)
3 (15,15) (14,14)
0 (11,10) (12,9)
1 (10,4) (11,5)
2 (8,8) (9,8)
3 (14,14) (15,15)
0 (12,9) (11,10)
1 (11,5) (10,4)
2 (9,8) (10,7)
3 (15,15) (14,14)
0 (11,10) (12,9)
1 (10,4) (11,5)
2 (10,7) (11,7)
3 (14,14) (15,15)
0 (12,9) (11,10)
1 (11,5) (10,4)
2 (11,7) (12,6)
3 (15,15) (14,14)
0 (11,10) (12,9)
1 (10,4) (11,5)
2 (12,6) (13,6)
3 (14,14) (15,15)
0 (12,9) (11,10)
1 (11,5) (10,4)
2 (13,6) (14,7)
3 (15,15) (14,14)
0 (11,10) (12,9)
1 (10,4) (11,5)
2 (14,7) (15,7)
3 (14,14) (15,15)
0 (12,9) (11,10)
1 (11,5) (10,4)
2 (15,7) (14,7)
3 (15,15) (14,14)
0 (11,10) (12,9)
1 (10,4) (11,5)
2 (14,7) (15,7)
3 (14,14) (15,15)
0 (12,9) (11,10)
1 (11,5) (10,4)
2 (15,7) (14,7)
3 (15,15) (14,14)
0 (11,10) (12,9)
1 (10,4) (11,5)
2 (14,7) (15,7)
3 (14,14) (15,15)
0 (12,9) (11,10)
1 (11,5) (10,4)
2 (15,7) (14,7)
3 (15,15) (14,14)
0 (11,10) (12,9)
1 (10,4) (11,5)
2 (14,7) (15,7)
3 (14,14) (15,15)
0 (12,9) (11,10)
1 (11,5) (10,4)
2 (15,7) (14,7)
3 (15,15) (14,14)
0 (11,10) (12,9)
1 (10,4) (11,5)
2 (14,7) (15,7)
3 (14,14) (15,15)
0 (12,9) (11,10)
1 (11,5) (10,4)
2 (15,7) (14,7)
3 (15,15) (14,14)
0 (11,10) (12,9)
1 (10,4) (11,5)
2 (14,7) (15,7)
3 (14,14) (15,15)
0 (12,9) (11,10)
1 (11,5) (10,4)
2 (15,7) (14,7)
3 (15,15) (14,14)
0 (11,10) (12,9)
1 (10,4) (11,5)
2 (14,7) (15,7)
3 (14,14) (15,15)
0 (12,9) (11,10)
1 (11,5) (10,4)
2 (15,7) (14,7)
3 (15,15) (14,14)
0 (11,10) (12,9)
1 (10,4) (11,5)
2 (14,7) (15,7)
3 (14,14) (15,15)
0 (12,9) (11,10)
1 (11,5) (10,4)
2 (15,7) (14,7)
3 (15,15) (14,14)
0 (11,10) (12,9)
1 (10,4) (11,5)
2 (14,7) (15,7)
3 (14,14) (15,15)
0 (12,9) (11,10)
1 (11,5) (10,4)
2 (15,7) (14,7)
3 (15,15) (14,14)
0 (11,10) (12,9)
1 (10,4) (11,5)
2 (14,7) (15,7)
3 (14,14) (15,15)
0 (12,9) (11,10)
