# Server version 0.08 running on Claudine-PC:8123
# Game ID: 196
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Mon Apr 07 11:28:44 GMT-04:00 2014
# Player 1: Player-0, '260449697', running on Claudine-PC
# Player 2: Player-1, '260449697', running on Claudine-PC
# Player 3: Player-2, '260449697', running on Claudine-PC
# Player 4: Player-3, '260449697', running on Claudine-PC
START Player-0 260449697
START Player-1 260449697
START Player-2 260449697
START Player-3 260449697
0 (2,2) (3,3)
1 (14,3) (15,4)
2 (2,13) (4,15)
2 null null
3 (14,14) (12,12)
3 null null
0 (1,2) (2,3)
1 (15,1) (13,3)
1 null null
2 (1,13) (2,12)
3 (13,13) (15,11)
3 null null
0 (0,3) (1,4)
1 (13,2) (11,0)
1 null null
2 (1,12) (3,12)
2 null null
3 (14,15) (12,13)
3 null null
0 (3,0) (4,1)
1 (14,0) (12,2)
1 null null
2 (3,15) (5,15)
2 null null
3 (15,14) (13,12)
3 null null
0 (2,0) (4,2)
0 null null
1 (15,3) (14,4)
2 (2,15) (4,13)
2 null null
3 (13,15) (11,13)
3 null null
0 (1,0) (3,2)
0 null null
1 (13,0) (11,2)
1 null null
2 (1,15) (3,13)
2 null null
3 (12,14) (10,12)
3 null null
0 (2,1) (4,3)
0 null null
1 (13,1) (11,1)
1 null null
2 (0,12) (1,11)
3 (15,12) (15,10)
3 null null
0 (0,2) (2,4)
0 null null
1 (12,0) (10,0)
1 null null
2 (3,14) (4,14)
3 (15,13) (13,11)
3 null null
0 (3,1) (5,3)
0 null null
1 (14,2) (12,4)
1 null null
2 (2,14) (4,12)
2 null null
3 (12,15) (11,14)
0 (1,3) (3,5)
0 null null
1 (12,1) (10,1)
1 null null
2 (1,14) (2,13)
3 (14,12) (14,11)
0 (1,1) (2,2)
1 (14,1) (13,2)
2 (2,13) (4,11)
2 null null
3 (13,14) (11,12)
3 null null
0 (2,2) (4,4)
0 null null
1 (13,2) (12,3)
2 (0,15) (1,14)
3 (14,13) (12,11)
3 null null
0 (0,0) (1,1)
1 (15,0) (14,1)
2 (1,14) (2,13)
3 (15,15) (14,14)
0 (1,1) (2,2)
1 (14,1) (13,2)
2 (2,13) (2,11)
2 null null
3 (14,14) (13,13)
0 (0,1) (1,2)
1 (13,2) (11,4)
1 null null
2 (0,14) (1,13)
3 (13,13) (11,11)
3 null null
0 (1,2) (3,4)
0 null null
1 (15,2) (14,3)
2 (1,13) (3,11)
2 null null
3 (11,11) (10,10)
0 (2,2) (3,1)
1 (14,3) (13,4)
2 (0,13) (1,12)
3 (10,10) (9,9)
0 (3,1) (5,1)
0 null null
1 (12,4) (11,5)
2 (1,12) (3,10)
2 null null
3 (9,9) (8,8)
0 (4,4) (5,5)
1 (13,3) (12,4)
2 (4,12) (5,11)
3 (8,8) (7,7)
0 (3,3) (4,4)
1 (11,5) (10,6)
2 (3,13) (4,12)
3 (7,7) (6,6)
0 (3,4) (4,5)
1 (12,4) (11,5)
2 (5,11) (6,10)
3 (12,12) (11,11)
0 (2,3) (3,4)
1 (10,6) (9,7)
2 (4,12) (5,11)
3 (11,11) (10,10)
0 (4,3) (5,4)
1 (11,5) (10,6)
2 (6,10) (7,9)
3 (10,10) (9,9)
0 (3,2) (4,3)
1 (9,7) (8,8)
2 (5,11) (6,10)
3 (11,12) (10,11)
0 (5,4) (6,5)
1 (10,6) (9,7)
2 (4,13) (5,12)
3 (12,13) (11,12)
0 (4,3) (5,4)
1 (13,4) (12,5)
2 (4,11) (5,10)
3 (12,11) (11,10)
0 (4,5) (5,6)
1 (11,4) (10,5)
2 (3,12) (4,11)
3 (13,12) (12,11)
0 (3,4) (4,5)
1 (12,3) (11,4)
2 (5,12) (6,11)
3 (11,10) (10,9)
0 (6,5) (7,6)
1 (12,5) (11,6)
2 (5,10) (6,9)
3 (12,11) (11,10)
0 (5,4) (6,5)
1 (10,5) (9,6)
2 (4,11) (5,10)
3 (10,11) (9,10)
0 (5,6) (6,7)
1 (11,4) (10,5)
2 (6,11) (7,10)
3 (11,12) (10,11)
0 (4,5) (5,6)
1 (11,6) (10,7)
2 (7,10) (8,9)
3 (10,9) (9,8)
0 (7,6) (8,7)
1 (14,4) (13,5)
2 (6,9) (7,8)
3 (11,10) (10,9)
0 (6,5) (7,6)
1 (12,2) (11,3)
2 (5,10) (6,9)
3 (13,11) (12,10)
0 (3,5) (4,6)
1 (11,3) (10,4)
2 (4,14) (5,13)
3 (12,10) (11,9)
0 (2,4) (3,5)
1 (13,5) (12,6)
2 (5,13) (6,12)
3 (10,12) (9,11)
0 (5,3) (6,4)
1 (10,4) (9,5)
2 (3,11) (4,10)
3 (11,13) (10,12)
0 (4,2) (5,3)
1 (12,6) (11,7)
2 (2,12) (3,11)
3 (11,9) (10,8)
0 (4,6) (5,7)
1 (9,5) (8,6)
2 (6,12) (7,11)
3 (9,11) (8,10)
0 (3,5) (4,6)
1 (15,4) (14,5)
2 (4,10) (5,9)
