# Server version 0.08 running on 192.168.2.17:8123
# Game ID: 466
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Fri Apr 11 04:22:19 GMT-04:00 2014
# Player 1: Player-0, '260449697', running on 192.168.2.17
# Player 2: Player-1, '260449697', running on 192.168.2.17
# Player 3: Player-2, '260449697', running on 192.168.2.17
# Player 4: Player-3, '260449697', running on 192.168.2.17
START Player-0 260449697
START Player-1 260449697
START Player-2 260449697
START Player-3 260449697
0 (0,2) (2,4)
0 null null
1 (15,2) (13,4)
1 null null
2 (1,14) (3,12)
2 null null
3 (15,13) (13,11)
3 null null
0 (0,1) (2,3)
0 (2,3) (2,5)
0 null null
1 (15,1) (13,3)
1 (13,3) (13,5)
1 null null
2 (1,15) (3,13)
2 (3,13) (3,11)
2 null null
3 (15,14) (13,12)
3 (13,12) (13,10)
3 null null
0 (1,1) (3,3)
0 (3,3) (1,5)
0 (1,5) (3,5)
0 null null
1 (14,1) (12,3)
1 (12,3) (14,5)
1 (14,5) (12,5)
1 null null
2 (0,14) (2,12)
2 (2,12) (4,10)
2 null null
3 (14,14) (12,12)
3 (12,12) (14,10)
3 (14,10) (12,10)
3 null null
0 (1,2) (1,4)
0 (1,4) (3,4)
0 (3,4) (3,6)
0 null null
1 (14,2) (14,4)
1 (14,4) (12,4)
1 (12,4) (12,6)
1 null null
2 (2,15) (4,13)
2 (4,13) (2,11)
2 (2,11) (4,11)
2 (4,11) (4,9)
2 null null
3 (14,13) (14,11)
3 (14,11) (12,11)
3 (12,11) (12,9)
3 null null
0 (1,0) (3,2)
0 (3,2) (1,2)
0 (1,2) (1,4)
0 (1,4) (3,4)
0 null null
1 (14,0) (12,2)
1 (12,2) (14,2)
1 (14,2) (14,4)
1 (14,4) (12,4)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 null null
3 (14,15) (12,13)
3 (12,13) (14,13)
3 (14,13) (14,11)
3 (14,11) (12,11)
3 null null
0 (2,1) (2,3)
0 (2,3) (4,5)
0 (4,5) (2,7)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,5)
1 (11,5) (13,7)
1 null null
2 (3,12) (5,10)
2 (5,10) (3,10)
2 (3,10) (5,8)
2 null null
