# Server version 0.08 running on Claudine-PC:8123
# Game ID: 524
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Fri Apr 11 17:07:51 GMT-04:00 2014
# Player 1: Player-0, '260449697', running on Claudine-PC
# Player 2: Player-1, '260449697', running on Claudine-PC
# Player 3: Player-2, '260449697', running on Claudine-PC
# Player 4: Player-3, '260449697', running on Claudine-PC
START Player-0 260449697
START Player-1 260449697
START Player-2 260449697
START Player-3 260449697
0 (1,1) (3,3)
0 null null
1 (14,1) (12,3)
1 null null
2 (1,14) (3,12)
2 null null
3 (14,14) (12,12)
3 null null
0 (1,0) (3,2)
0 (3,2) (3,4)
0 null null
1 (14,0) (12,2)
1 (12,2) (12,4)
1 null null
2 (1,15) (3,13)
2 (3,13) (3,11)
2 null null
3 (15,14) (13,12)
3 (13,12) (11,12)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,5)
0 null null
1 (15,1) (13,3)
1 (13,3) (11,5)
1 null null
2 (0,14) (2,12)
2 (2,12) (4,10)
2 null null
3 (14,15) (12,13)
3 (12,13) (10,11)
3 null null
0 (2,0) (4,2)
0 (4,2) (2,4)
0 (2,4) (4,4)
0 (4,4) (4,6)
0 null null
1 (13,0) (11,2)
1 (11,2) (13,4)
1 (13,4) (11,4)
1 (11,4) (11,6)
1 null null
2 (2,15) (4,13)
2 (4,13) (2,11)
2 (2,11) (4,11)
2 (4,11) (4,9)
2 null null
3 (15,13) (13,11)
3 (13,11) (11,13)
3 (11,13) (11,11)
3 (11,11) (9,11)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,4)
0 null null
1 (15,2) (13,4)
1 (13,4) (11,4)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 null null
3 (13,15) (11,13)
3 (11,13) (11,11)
3 null null
0 (0,3) (2,3)
0 (2,3) (4,3)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,3)
1 null null
2 (0,12) (2,12)
2 (2,12) (4,12)
2 null null
3 (12,15) (12,13)
3 (12,13) (12,11)
3 null null
0 (3,0) (3,2)
0 (3,2) (5,4)
0 (5,4) (3,6)
0 (3,6) (5,6)
0 null null
1 (12,0) (12,2)
1 (12,2) (10,4)
1 (10,4) (12,6)
1 (12,6) (10,6)
1 null null
2 (3,15) (3,13)
2 (3,13) (5,11)
2 (5,11) (3,9)
2 (3,9) (5,9)
2 null null
3 (15,12) (13,12)
3 (13,12) (11,10)
3 (11,10) (9,12)
3 (9,12) (9,10)
3 null null
0 (1,2) (3,0)
0 (3,0) (3,2)
0 (3,2) (5,4)
0 null null
1 (14,2) (12,0)
1 (12,0) (12,2)
1 (12,2) (10,4)
1 null null
2 (1,13) (3,15)
2 (3,15) (3,13)
2 (3,13) (5,11)
2 null null
3 (13,14) (15,12)
3 (15,12) (13,12)
3 (13,12) (11,10)
3 null null
0 (2,1) (2,3)
0 null null
1 (13,1) (13,3)
1 null null
2 (2,14) (2,12)
2 null null
3 (14,13) (12,13)
3 null null
0 (1,3) (2,4)
1 (12,1) (11,2)
2 (1,12) (2,11)
3 (14,12) (13,11)
0 (3,1) (1,3)
0 (1,3) (3,5)
0 (3,5) (5,3)
0 (5,3) (5,5)
0 (5,5) (5,7)
0 null null
1 (14,3) (12,1)
1 (12,1) (10,3)
1 (10,3) (10,5)
1 (10,5) (12,5)
1 (12,5) (10,7)
1 null null
2 (3,14) (1,12)
2 (1,12) (3,10)
2 (3,10) (5,12)
2 (5,12) (5,10)
2 (5,10) (5,8)
2 null null
3 (12,14) (14,12)
3 (14,12) (12,10)
3 (12,10) (10,12)
3 (10,12) (10,10)
3 (10,10) (8,10)
3 null null
0 (2,2) (3,2)
1 (13,2) (13,4)
1 null null
2 (2,13) (3,13)
3 (13,13) (11,13)
3 null null
0 (4,3) (6,5)
0 (6,5) (4,7)
0 (4,7) (6,9)
0 null null
1 (11,3) (9,5)
1 (9,5) (11,7)
1 (11,7) (9,7)
1 null null
2 (3,12) (1,12)
2 (1,12) (3,10)
2 (3,10) (5,12)
2 (5,12) (5,10)
2 (5,10) (7,8)
2 null null
3 (12,11) (10,9)
3 (10,9) (8,11)
3 (8,11) (8,9)
3 (8,9) (6,7)
3 (6,7) (4,7)
3 (4,7) (6,5)
3 (6,5) (4,3)
3 (4,3) (2,1)
3 null null
0 (2,3) (4,3)
0 (4,3) (6,5)
0 (6,5) (4,7)
0 (4,7) (6,7)
0 (6,7) (8,9)
0 (8,9) (8,11)
0 (8,11) (10,9)
0 (10,9) (12,11)
0 (12,11) (14,11)
0 null null
1 (10,6) (8,8)
1 (8,8) (6,8)
1 (6,8) (4,8)
1 (4,8) (6,10)
1 null null
2 (4,10) (4,8)
2 (4,8) (6,8)
2 (6,8) (8,8)
2 (8,8) (10,6)
2 (10,6) (12,6)
2 null null
3 (12,13) (12,11)
3 (12,11) (10,9)
3 (10,9) (8,11)
3 (8,11) (8,9)
3 (8,9) (6,7)
3 (6,7) (4,7)
3 (4,7) (6,5)
